sentence,named_mountains
"Mount Everest, the world's highest peak, is a part of the Himalayas.",Mount Everest
Kilimanjaro in Tanzania is known for its snow-capped peak.,Kilimanjaro
The Rocky Mountains are famous for their stunning vistas.,Rocky Mountains
Mount Fuji is a sacred symbol in Japanese culture.,Mount Fuji
The Andes stretch along the western edge of South America.,Andes
"Denali, formerly known as Mount McKinley, is the highest in North America.",Denali
Mont Blanc straddles the border between France and Italy.,Mont Blanc
The Swiss Alps are known for their beautiful ski resorts.,Swiss Alps
Mount Vesuvius is famous for its eruption in 79 AD.,Mount Vesuvius
"K2, also known as Mount Godwin-Austen, is the second-highest mountain on Earth.","K2,Mount Godwin-Austen"
The Ural Mountains form a natural boundary between Europe and Asia.,Ural Mountains
Mount Olympus was regarded as the home of the Greek gods.,Mount Olympus
The Appalachians are one of the oldest mountain ranges in the world.,Appalachians
Mount Kilimanjaro is one of the Seven Summits.,Mount Kilimanjaro
The Drakensberg mountains are a stunning sight in South Africa.,Drakensberg
Mount Elbrus is the highest peak in Europe.,Mount Elbrus
The Sierra Nevada range is known for its breathtaking landscapes.,Sierra Nevada
Mount Cook is the highest mountain in New Zealand.,Mount Cook
The Atlas Mountains run across the northwest of Africa.,Atlas Mountains
Mount Rainier is an iconic part of Washington State's landscape.,Mount Rainier
The Pyrenees form a natural border between France and Spain.,Pyrenees
Mount Ararat is a significant cultural symbol in Armenia.,Mount Ararat
The Himalayas are home to many of the world's highest peaks.,Himalayas
Mount Etna in Italy is one of the most active volcanoes in the world.,Mount Etna
The Cascade Range is known for its impressive volcanoes and scenic beauty.,Cascade Range
Mount Logan is the highest peak in Canada.,Mount Logan
The Dolomites in Italy are renowned for their stunning rock formations.,Dolomites
Mount Fuji's symmetrical cone is a well-known symbol of Japan.,Mount Fuji
The Carpathian Mountains are a range of mountains in Eastern Europe.,Carpathian Mountains
Mount Everest and Lhotse are neighboring peaks in the Himalayas.,"Mount Everest,Lhotse"
Aconcagua in Argentina is the highest mountain outside of Asia.,Aconcagua
The Mauna Kea in Hawaii is considered the tallest mountain when measured from its underwater base.,Mauna Kea
Mount Kilimanjaro is unique due to its free-standing volcanic status.,Mount Kilimanjaro
Mount St. Helens is known for its catastrophic eruption in 1980.,Mount St. Helens
The Matterhorn in the Alps is famous for its pyramid shape.,Matterhorn
Pikes Peak is a prominent mountain in the Front Range of the Rocky Mountains.,Pikes Peak
"Mount McKinley is another name for Denali, the tallest peak in North America.","Mount McKinley,Denali"
The Catskill Mountains are a popular getaway in New York.,Catskill Mountains
Mount Rainier is considered one of the most dangerous volcanoes in the world.,Mount Rainier
The Sierra Madre range spans across Mexico and part of the United States.,Sierra Madre
Mount Olympus in Washington State is known for its stunning wilderness.,Mount Olympus
The Great Dividing Range is Australia's most substantial mountain range.,Great Dividing Range
Mount Kosciuszko is the highest mountain in Australia.,Mount Kosciuszko
The Caucasus Mountains stretch between the Black Sea and the Caspian Sea.,Caucasus Mountains
Mount Erebus in Antarctica is the southernmost active volcano on Earth.,Mount Erebus
The Guadalupe Mountains in Texas are known for their fossilized reef.,Guadalupe Mountains
Mount Kanchenjunga is the third highest mountain in the world.,Mount Kanchenjunga
Ben Nevis is the highest mountain in the British Isles.,Ben Nevis
The Blue Ridge Mountains are a part of the Appalachian Mountains.,Blue Ridge Mountains
Mount Popa in Myanmar is famous for its stunning temple at the summit.,Mount Popa
The Sangre de Cristo Mountains are a part of the Rocky Mountains in the United States.,Sangre de Cristo Mountains
Mount Elgon on the Uganda-Kenya border is an extinct shield volcano.,Mount Elgon
The Tatra Mountains form a natural border between Slovakia and Poland.,Tatra Mountains
Mount Whitney is the highest summit in the contiguous United States.,Mount Whitney
The Grampians in Scotland are a popular hiking destination.,Grampians
Mount Bromo in Indonesia is known for its stunning sunrises.,Mount Bromo
The Wicklow Mountains are a range of mountains in Ireland.,Wicklow Mountains
Mount Shasta in California is known for its scenic beauty and spiritual significance.,Mount Shasta
The Chugach Mountains in Alaska offer some of the most spectacular wilderness in the USA.,Chugach Mountains
Mount Chimborazo in Ecuador is the furthest point from the Earth's center.,Mount Chimborazo
The Harz Mountains in Germany are rich in folklore and legends.,Harz Mountains
Mount Teide in the Canary Islands is one of the world's largest volcanoes.,Mount Teide
The Jura Mountains are a smaller range in Eastern France and Switzerland.,Jura Mountains
Mount Olympus in Greece was considered the abode of the ancient Greek gods.,Mount Olympus
The Serra da Estrela is the highest mountain range in continental Portugal.,Serra da Estrela
"Mount Roraima's flat top is home to unique ecosystems, inspiring the movie 'Up'.",Mount Roraima
The Vosges Mountains in France are known for their picturesque villages.,Vosges Mountains
Mount Kazbek in Georgia is a dormant stratovolcano and a popular climbing spot.,Mount Kazbek
The White Mountains in New Hampshire are a favorite for hikers in the northeastern US.,White Mountains
"Mount Meru in Tanzania is often overshadowed by its nearby neighbor, Kilimanjaro.",Mount Meru
The Black Hills in South Dakota are sacred to the Native American Lakota people.,Black Hills
"Mount Cook, also known as Aoraki, is the tallest mountain in New Zealand.","Mount Cook,Aoraki"
The Adirondack Mountains in New York State offer a natural escape for city dwellers.,Adirondack Mountains
Mount Eiger in Switzerland is notorious for its challenging north face climb.,Mount Eiger
The Glass House Mountains in Australia were named by Captain James Cook.,Glass House Mountains
Mount Hood in Oregon is a popular skiing destination.,Mount Hood
The Smoky Mountains are renowned for their mist-covered peaks.,Smoky Mountains
Mount Arapiles in Australia is a rock climbing mecca.,Mount Arapiles
The Green Mountains in Vermont are a part of the Appalachian range.,Green Mountains
Mount Pinatubo in the Philippines is famous for its 1991 eruption.,Mount Pinatubo
The Wicklow Mountains in Ireland are known for their scenic beauty and ancient history.,Wicklow Mountains
Mount Pelée in Martinique is infamous for its deadly 1902 eruption.,Mount Pelée
The Franklin Mountains in Texas offer stunning desert landscapes.,Franklin Mountains
Mount Mansfield is the highest mountain in Vermont.,Mount Mansfield
The Troodos Mountains in Cyprus are rich in copper and history.,Troodos Mountains
Mount Kinabalu in Malaysia is a prominent biodiversity hotspot.,Mount Kinabalu
The Pindus Mountains in Greece are known as the 'spine of Greece'.,Pindus Mountains
Mount Tyree is the second highest peak in Antarctica.,Mount Tyree
The Simien Mountains in Ethiopia are home to unique wildlife.,Simien Mountains
Mount Damavand in Iran is the highest volcano in Asia.,Mount Damavand
The Gasherbrum range in the Himalayas includes several high peaks.,Gasherbrum
Mount Kangchenjunga is revered by the people of Sikkim and Darjeeling.,Mount Kangchenjunga
"The Bitterroot Range spans Idaho and Montana, offering rugged wilderness.",Bitterroot Range
Mount Shishapangma is one of the lesser-known 8000-meter peaks in Tibet.,Mount Shishapangma
The Sawtooth Range in Idaho is known for its jagged peaks and pristine lakes.,Sawtooth Range
Mount Annapurna in Nepal is considered one of the most dangerous to climb.,Mount Annapurna
The San Juan Mountains in Colorado are known for their stunning beauty.,San Juan Mountains
Mount Monadnock in New Hampshire is famous for its isolated standing.,Mount Monadnock
The Wuling Mountains in China offer breathtaking views and rich history.,Wuling Mountains
"Mount Nanga Parbat is notoriously challenging, earning the nickname 'Killer Mountain'.",Mount Nanga Parbat
The Brooks Range in Alaska is one of the most remote mountain ranges in the world.,Brooks Range
Mount Dhaulagiri was once thought to be the highest mountain in the world.,Mount Dhaulagiri
The Lofoten Islands in Norway are known for their dramatic mountainous landscapes.,Lofoten Islands
Mount Cho Oyu is known for being the easiest eight-thousander to climb.,Mount Cho Oyu
The Sierra de la Laguna in Mexico are a unique mountain range in Baja California.,Sierra de la Laguna
Mount Manaslu in Nepal is known as the 'mountain of the spirit'.,Mount Manaslu
The Superstition Mountains in Arizona are shrouded in myths and legends.,Superstition Mountains
Mount Wilhelm is the highest peak in Papua New Guinea.,Mount Wilhelm
"The Langtang Range in Nepal is a lesser-known, yet stunning, Himalayan range.",Langtang Range
Mount Makalu is an isolated peak in the Himalayas with a distinctive pyramid shape.,Mount Makalu
The Huachuca Mountains in Arizona are a haven for birdwatchers and hikers.,Huachuca Mountains
Mount Logan in Canada is the second highest peak in North America.,Mount Logan
The Serra dos Órgãos range in Brazil is known for its organ pipe-like rock formations.,Serra dos Órgãos
Mount Broad Peak in the Karakoram Range is known for its extensive summit.,Mount Broad Peak
The Ruby Mountains in Nevada are a hidden gem known for their alpine lakes.,Ruby Mountains
Mount Lhotse is known for its proximity to Mount Everest.,Mount Lhotse
The Teton Range in Wyoming is famous for its rugged and dramatic peaks.,Teton Range
Mount Gurla Mandhata in Tibet is a sacred mountain near Lake Manasarovar.,Mount Gurla Mandhata
The Santa Monica Mountains in California offer a scenic backdrop to Los Angeles.,Santa Monica Mountains
Mount Fitz Roy on the border of Argentina and Chile is a stunning Patagonian peak.,Mount Fitz Roy
The Taebaek Mountains are a prominent mountain range in South Korea.,Taebaek Mountains
Mount Baker in Washington State is known for its heavy snowfall.,Mount Baker
The Ozark Mountains span across multiple states in the central United States.,Ozark Mountains
Mount Aspiring in New Zealand is a popular destination for climbers.,Mount Aspiring
The Sierra Nevada de Santa Marta in Colombia are the world's highest coastal range.,Sierra Nevada de Santa Marta
"Mount Cook, also known as Aoraki, is a prominent peak in the Southern Alps of New Zealand.","Mount Cook,Aoraki"
The Cascade Mountains are a major mountain range in the Pacific Northwest.,Cascade Mountains
Mount Kazbek in the Caucasus is a dormant stratovolcano.,Mount Kazbek
The Altai Mountains in Central Asia are a region of diverse wildlife and natural beauty.,Altai Mountains
Mount Kinabalu in Borneo is famous for its diverse and unique flora.,Mount Kinabalu
The Carpathians in Eastern Europe are known for their forests and mountainous landscapes.,Carpathians
Mount Kilimanjaro in Tanzania is a dormant volcano and Africa's highest peak.,Mount Kilimanjaro
The Julian Alps in Slovenia and Italy are named after Julius Caesar.,Julian Alps
Mount Elbrus in the Caucasus Mountains is Europe's highest peak.,Mount Elbrus
The Wasatch Range in Utah is known for its excellent skiing conditions.,Wasatch Range
Mount Rainier in Washington is an iconic part of the Pacific Northwest's landscape.,Mount Rainier
The Sangre de Cristo Mountains in New Mexico are part of the Rocky Mountains.,Sangre de Cristo Mountains
