sentence,named_mountains
Nature documentaries often highlight that The Rocky Mountains are famous for their stunning vistas.,Rocky Mountains
"As many hikers have observed, Denali, formerly known as Mount McKinley, is the highest in North America.","Denali,Mount McKinley"
"According to explorers, The Ural Mountains form a natural boundary between Europe and Asia.",Ural Mountains
"From a bird's-eye view, The Appalachians are one of the oldest mountain ranges in the world.",Appalachians
"In travel documentaries, Mount Kilimanjaro is one of the Seven Summits.",Mount Kilimanjaro
Tourists often find that Mount Elbrus is the highest peak in Europe.,Mount Elbrus
It is often said that The Sierra Nevada range is known for its breathtaking landscapes.,Sierra Nevada
"From a bird's-eye view, Mount Cook is the highest mountain in New Zealand.",Mount Cook
Travel guides mention that The Atlas Mountains run across the northwest of Africa.,Atlas Mountains
"As many hikers have observed, Mount Rainier is an iconic part of Washington State's landscape.",Mount Rainier
"Historically speaking, The Pyrenees form a natural border between France and Spain.",Pyrenees
"According to explorers, The Himalayas are home to many of the world's highest peaks.",Himalayas
Adventure seekers have noted that The Cascade Range is known for its impressive volcanoes and scenic beauty.,Cascade Range
Legends say that Mount Logan is the highest peak in Canada.,Mount Logan
"According to ancient myths, The Dolomites in Italy are renowned for their stunning rock formations.",Dolomites
"Among the local population, it is believed that Mount Everest and Lhotse are neighboring peaks in the Himalayas.","Mount Everest,Lhotse,Himalayas"
Nature enthusiasts enjoy that Mount St. Helens is known for its catastrophic eruption in 1980.,Mount St. Helens
Adventure seekers have noted that The Matterhorn in the Alps is famous for its pyramid shape.,"Matterhorn,Alps"
Nature documentaries often highlight that Mount Olympus in Washington State is known for its stunning wilderness.,Mount Olympus
"In the history of mountaineering, The Great Dividing Range is Australia's most substantial mountain range.",Great Dividing Range
"According to recent studies, Mount Kosciuszko is the highest mountain in Australia.",Mount Kosciuszko
It is well-known that The Caucasus Mountains stretch between the Black Sea and the Caspian Sea.,Caucasus Mountains
"From a climber's perspective, The Guadalupe Mountains in Texas are known for their fossilized reef.",Guadalupe Mountains
"In the history of mountaineering, The Sangre de Cristo Mountains are a part of the Rocky Mountains in the United States.","Sangre de Cristo Mountains,Rocky Mountains"
Adventure seekers have noted that Mount Elgon on the Uganda-Kenya border is an extinct shield volcano.,Mount Elgon
It's a lesser-known fact that Mount Bromo in Indonesia is known for its stunning sunrises.,Mount Bromo
"In the eyes of historians, The Wicklow Mountains are a range of mountains in Ireland.",Wicklow Mountains
Legends say that The Chugach Mountains in Alaska offer some of the most spectacular wilderness in the USA.,Chugach Mountains
"From a bird's-eye view, Mount Chimborazo in Ecuador is the furthest point from the Earth's center.",Mount Chimborazo
"As reported in the news, The Serra da Estrela is the highest mountain range in continental Portugal.",Serra da Estrela
"Nature enthusiasts enjoy that Mount Roraima's flat top is home to unique ecosystems, inspiring the movie 'Up'.",Mount Roraima
"In the eyes of historians, The Black Hills in South Dakota are sacred to the Native American Lakota people.",Black Hills
"Historically speaking, The Adirondack Mountains in New York State offer a natural escape for city dwellers.",Adirondack Mountains
Environmental studies show that The Smoky Mountains are renowned for their mist-covered peaks.,Smoky Mountains
Nature documentaries often highlight that Mount Arapiles in Australia is a rock climbing mecca.,Mount Arapiles
"In the history of mountaineering, Mount Pinatubo in the Philippines is famous for its 1991 eruption.",Mount Pinatubo
"In the history of mountaineering, The Wicklow Mountains in Ireland are known for their scenic beauty and ancient history.",Wicklow Mountains
"Historically speaking, Mount Pelée in Martinique is infamous for its deadly 1902 eruption.",Mount Pelée
"From a geographical perspective, Mount Mansfield is the highest mountain in Vermont.",Mount Mansfield
Mountain climbers often recount that Mount Kinabalu in Malaysia is a prominent biodiversity hotspot.,Mount Kinabalu
Tourists often find that The Pindus Mountains in Greece are known as the 'spine of Greece'.,Pindus Mountains
"According to explorers, The Simien Mountains in Ethiopia are home to unique wildlife.",Simien Mountains
Nature enthusiasts enjoy that The Sawtooth Range in Idaho is known for its jagged peaks and pristine lakes.,Sawtooth Range
"In the realm of folklore, Mount Annapurna in Nepal is considered one of the most dangerous to climb.",Mount Annapurna
It is well-known that The San Juan Mountains in Colorado are known for their stunning beauty.,San Juan Mountains
"From a geographical perspective, Mount Monadnock in New Hampshire is famous for its isolated standing.",Mount Monadnock
