sentence,word_labels
"Mount Everest, the world's highest peak, is a part of the Himalayas.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O"
Kilimanjaro in Tanzania is known for its snow-capped peak.,"B,O,O,O,O,O,O,O,O,O,O,O"
The Rocky Mountains are famous for their stunning vistas.,"O,B,I,O,O,O,O,O,O,O"
Mount Fuji is a sacred symbol in Japanese culture.,"B,I,O,O,O,O,O,O,O,O"
The Andes stretch along the western edge of South America.,"O,B,O,O,O,O,O,O,O,O,O"
"Denali, formerly known as Mount McKinley, is the highest in North America.","B,O,O,O,O,B,I,O,O,O,O,O,O,O,O"
Mont Blanc straddles the border between France and Italy.,"B,I,O,O,O,O,O,O,O,O"
The Swiss Alps are known for their beautiful ski resorts.,"O,B,I,O,O,O,O,O,O,O,O"
Mount Vesuvius is famous for its eruption in 79 AD.,"B,I,O,O,O,O,O,O,O,O,O"
"K2, also known as Mount Godwin-Austen, is the second-highest mountain on Earth.","B,O,O,O,O,B,I,I,I,O,O,O,O,O,O,O,O,O,O"
The Ural Mountains form a natural boundary between Europe and Asia.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Olympus was regarded as the home of the Greek gods.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Appalachians are one of the oldest mountain ranges in the world.,"O,B,O,O,O,O,O,O,O,O,O,O,O"
Mount Kilimanjaro is one of the Seven Summits.,"B,I,O,O,O,O,O,O,O"
The Drakensberg mountains are a stunning sight in South Africa.,"O,B,O,O,O,O,O,O,O,O,O"
Mount Elbrus is the highest peak in Europe.,"B,I,O,O,O,O,O,O,O"
The Sierra Nevada range is known for its breathtaking landscapes.,"O,B,I,O,O,O,O,O,O,O,O"
Mount Cook is the highest mountain in New Zealand.,"B,I,O,O,O,O,O,O,O,O"
The Atlas Mountains run across the northwest of Africa.,"O,B,I,O,O,O,O,O,O,O"
Mount Rainier is an iconic part of Washington State's landscape.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Pyrenees form a natural border between France and Spain.,"O,B,O,O,O,O,O,O,O,O,O"
Mount Ararat is a significant cultural symbol in Armenia.,"B,I,O,O,O,O,O,O,O,O"
The Himalayas are home to many of the world's highest peaks.,"O,B,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Etna in Italy is one of the most active volcanoes in the world.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Cascade Range is known for its impressive volcanoes and scenic beauty.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Logan is the highest peak in Canada.,"B,I,O,O,O,O,O,O,O"
The Dolomites in Italy are renowned for their stunning rock formations.,"O,B,O,O,O,O,O,O,O,O,O,O"
Mount Fuji's symmetrical cone is a well-known symbol of Japan.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Carpathian Mountains are a range of mountains in Eastern Europe.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Everest and Lhotse are neighboring peaks in the Himalayas.,"B,I,O,B,O,O,O,O,O,B,O"
Aconcagua in Argentina is the highest mountain outside of Asia.,"B,O,O,O,O,O,O,O,O,O,O"
The Mauna Kea in Hawaii is considered the tallest mountain when measured from its underwater base.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Kilimanjaro is unique due to its free-standing volcanic status.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
Mount St. Helens is known for its catastrophic eruption in 1980.,"B,I,I,I,O,O,O,O,O,O,O,O,O"
The Matterhorn in the Alps is famous for its pyramid shape.,"O,B,O,O,B,O,O,O,O,O,O,O"
Pikes Peak is a prominent mountain in the Front Range of the Rocky Mountains.,"B,I,O,O,O,O,O,O,O,O,O,O,B,I,O"
"Mount McKinley is another name for Denali, the tallest peak in North America.","B,I,O,O,O,O,B,O,O,O,O,O,O,O,O"
The Catskill Mountains are a popular getaway in New York.,"O,B,I,O,O,O,O,O,O,O,O"
Mount Rainier is considered one of the most dangerous volcanoes in the world.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Sierra Madre range spans across Mexico and part of the United States.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O"
Mount Olympus in Washington State is known for its stunning wilderness.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Great Dividing Range is Australia's most substantial mountain range.,"O,B,I,I,O,O,O,O,O,O,O,O,O"
Mount Kosciuszko is the highest mountain in Australia.,"B,I,O,O,O,O,O,O,O"
The Caucasus Mountains stretch between the Black Sea and the Caspian Sea.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Erebus in Antarctica is the southernmost active volcano on Earth.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Guadalupe Mountains in Texas are known for their fossilized reef.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Kanchenjunga is the third highest mountain in the world.,"B,I,O,O,O,O,O,O,O,O,O"
Ben Nevis is the highest mountain in the British Isles.,"B,I,O,O,O,O,O,O,O,O,O"
The Blue Ridge Mountains are a part of the Appalachian Mountains.,"O,B,I,I,O,O,O,O,O,B,I,O"
Mount Popa in Myanmar is famous for its stunning temple at the summit.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Sangre de Cristo Mountains are a part of the Rocky Mountains in the United States.,"O,B,I,I,I,O,O,O,O,O,B,I,O,O,O,O,O"
Mount Elgon on the Uganda-Kenya border is an extinct shield volcano.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Tatra Mountains form a natural border between Slovakia and Poland.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Whitney is the highest summit in the contiguous United States.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Grampians in Scotland are a popular hiking destination.,"O,B,O,O,O,O,O,O,O,O"
Mount Bromo in Indonesia is known for its stunning sunrises.,"B,I,O,O,O,O,O,O,O,O,O"
The Wicklow Mountains are a range of mountains in Ireland.,"O,B,I,O,O,O,O,O,O,O,O"
Mount Shasta in California is known for its scenic beauty and spiritual significance.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Chugach Mountains in Alaska offer some of the most spectacular wilderness in the USA.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Chimborazo in Ecuador is the furthest point from the Earth's center.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Harz Mountains in Germany are rich in folklore and legends.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Teide in the Canary Islands is one of the world's largest volcanoes.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Jura Mountains are a smaller range in Eastern France and Switzerland.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Olympus in Greece was considered the abode of the ancient Greek gods.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Serra da Estrela is the highest mountain range in continental Portugal.,"O,B,I,I,O,O,O,O,O,O,O,O,O"
"Mount Roraima's flat top is home to unique ecosystems, inspiring the movie 'Up'.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Vosges Mountains in France are known for their picturesque villages.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Kazbek in Georgia is a dormant stratovolcano and a popular climbing spot.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The White Mountains in New Hampshire are a favorite for hikers in the northeastern US.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Meru in Tanzania is often overshadowed by its nearby neighbor, Kilimanjaro.","B,I,O,O,O,O,O,O,O,O,O,O,B,O"
The Black Hills in South Dakota are sacred to the Native American Lakota people.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Cook, also known as Aoraki, is the tallest mountain in New Zealand.","B,I,O,O,O,O,B,O,O,O,O,O,O,O,O,O"
The Adirondack Mountains in New York State offer a natural escape for city dwellers.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
